YEAR,POP_0,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_7,POP_8,POP_9,POP_10,POP_11,POP_12,POP_13,POP_14,POP_15,POP_16,POP_17,POP_18,POP_19,POP_20,POP_21,POP_22,POP_23,POP_24,POP_25,POP_26,POP_27,POP_28,POP_29,POP_30,POP_31,POP_32,POP_33,POP_34,POP_35,POP_36,POP_37,POP_38,POP_39,POP_40,POP_41,POP_42,POP_43,POP_44,POP_45,POP_46,POP_47,POP_48,POP_49,POP_50,POP_51,POP_52,POP_53,POP_54,POP_55,POP_56,POP_57,POP_58,POP_59,POP_60,POP_61,POP_62,POP_63,POP_64,POP_65,POP_66,POP_67,POP_68,POP_69,POP_70,POP_71,POP_72,POP_73,POP_74,POP_75,POP_76,POP_77,POP_78,POP_79,POP_80,POP_81,POP_82,POP_83,POP_84,POP_85,POP_86,POP_87,POP_88,POP_89,POP_90,POP_91,POP_92,POP_93,POP_94,POP_95,POP_96,POP_97,POP_98,POP_99,POP_100
2048,4287874,4294027,4298920,4301709,4303313,4304814,4306970,4310107,4314454,4319557,4324974,4330778,4337170,4345209,4356047,4371404,4392924,4421466,4456818,4497164,4540114,4583562,4626063,4667200,4706362,4742307,4773930,4800292,4821203,4835869,4844747,4848374,4777457,4809937,4811893,4805432,4813370,4857797,4852800,4849127,4967683,4976451,4930763,4904841,4898753,4853155,4818686,4893802,4929521,4837771,4807835,4784336,4776200,4820287,4857335,4871436,4931942,4957828,4894349,4670074,4519254,4399146,4363513,4339586,4161431,4164054,4105816,4008283,4019031,3732732,3605566,3509254,3349073,3376851,3208173,3179686,3233614,3318542,3257365,2996353,2829211,2719113,2641193,2652175,2547282,2384358,2212799,2064847,1900116,1663624,1479983,1294074,1089125,928219,754218,603788,473754,367553,280576,208236,349478
2049,4300717,4306794,4311418,4313731,4314659,4315439,4316912,4319437,4323160,4327919,4332927,4338084,4343701,4350552,4360119,4374244,4394713,4422565,4457801,4498496,4542283,4587089,4631205,4673585,4714021,4751907,4786146,4815576,4839553,4857615,4869215,4874485,4874714,4800896,4831284,4831435,4823143,4829274,4872136,4865615,4860250,4976836,4984041,4937180,4910350,4903091,4855866,4819217,4891739,4925177,4831857,4800599,4776303,4767662,4811156,4847553,4860824,4920172,4944731,4880103,4655114,4502827,4380588,4341915,4314774,4134431,4133428,4072128,3971992,3978680,3691450,3561165,3460916,3297510,3318820,3147099,3112560,3157752,3231786,3162098,2897169,2723027,2604192,2515133,2509403,2393170,2224029,2047737,1894172,1726056,1495109,1314377,1134429,941263,789836,631087,496077,381644,289900,216335,368338
2050,4313446,4319726,4324259,4326295,4326735,4326831,4327577,4329420,4332527,4336664,4341320,4346071,4351042,4357119,4365506,4378373,4397626,4424447,4459015,4499616,4543769,4589428,4634911,4678918,4720601,4759760,4795939,4827975,4855002,4876117,4891098,4899083,4900943,4898264,4822341,4850915,4849245,4839159,4843764,4885067,4876860,4869639,4984568,4990550,4942807,4914836,4905906,4856521,4817484,4887670,4919258,4824767,4792738,4768004,4758973,4801839,4837361,4849670,4907585,4930641,4864541,4638371,4484104,4359340,4317580,4287107,4104579,4100034,4035727,3932796,3934979,3646461,3512631,3408161,3241520,3256159,3081312,3040293,3076018,3138159,3058148,2789213,2608700,2480798,2380622,2358426,2233230,2059112,1879489,1721846,1552202,1328819,1153161,981318,801759,661578,519129,400153,301424,223879,385732
2051,4325825,4332545,4337264,4339197,4339353,4338952,4339007,4340120,4342545,4346064,4350099,4354495,4359059,4364492,4372113,4383809,4401819,4427446,4461008,4500963,4545036,4591073,4637421,4682807,4726119,4766527,4803970,4837941,4867566,4891716,4909739,4921085,4925648,4924594,4919796,4842066,4868811,4865353,4853756,4856841,4896423,4886364,4877607,4991214,4996261,4947409,4917801,4906662,4854913,4813769,4882043,4912164,4817059,4784623,4759565,4750120,4792139,4826643,4837725,4894029,4915241,4847152,4619301,4462663,4335357,4290392,4256507,4071974,4063901,3996381,3890295,3887360,3597276,3459640,3350860,3181021,3188645,3010442,2962399,2987756,3035895,2944918,2672903,2485833,2349034,2238255,2201689,2068641,1890917,1709520,1549588,1380528,1166801,998396,836711,672303,544817,419285,316479,233112,402042
2052,4337643,4345016,4350150,4352266,4352307,4351610,4351170,4351589,4353279,4356112,4359528,4363306,4367513,4372541,4379524,4390466,4407322,4431727,4464116,4503085,4546528,4592498,4639235,4685502,4730200,4772234,4810920,4846144,4877695,4904434,4925471,4939849,4947762,4949397,4946225,4939594,4860052,4885001,4880046,4866938,4868341,4906035,4894445,4884494,4997061,5000946,4950496,4918707,4905155,4851321,4808521,4875252,4904452,4809109,4776386,4750979,4740907,4781928,4815154,4824836,4879179,4898013,4827379,4597468,4438447,4308521,4260274,4223068,4036643,4024815,3953697,3843932,3835306,3543550,3402051,3288913,3115784,3115887,2933999,2878223,2891235,2924401,2822875,2547838,2354538,2209478,2090398,2040334,1900690,1720912,1539494,1379330,1213129,1011119,852085,702366,554309,440562,332070,245118,419105
2053,4348788,4356925,4362692,4365217,4365427,4364611,4363867,4363787,4364782,4366879,4369608,4372767,4376356,4381029,4387611,4397927,4414047,4437317,4468507,4506326,4548796,4594151,4640834,4687501,4733085,4776498,4816814,4853272,4886065,4914717,4938331,4955710,4966639,4971619,4971127,4966120,4957648,4876334,4899771,4893318,4878542,4878100,4914220,4901445,4890598,5001886,5004114,4951526,4917358,4901667,4846202,4802123,4867861,4896506,4801048,4768014,4742052,4731203,4770974,4802740,4810675,4862526,4878397,4804768,4572812,4411339,4278748,4227325,4186823,3998382,3982370,3907109,3793198,3778451,3485138,3339762,3222079,3045419,3037376,2851339,2786061,2785876,2804147,2691591,2414119,2215383,2064470,1938120,1875616,1730826,1550739,1371319,1213149,1052140,863783,716008,579768,448805,349368,257567,438893
2054,4359221,4368159,4374671,4377819,4378435,4377776,4376906,4376523,4377015,4378418,4380408,4382876,4385847,4389903,4396139,4406062,4421572,4444129,4474209,4510853,4552183,4596581,4642656,4689287,4735276,4779577,4821262,4859342,4893359,4923238,4948751,4968694,4982614,4990605,4993447,4991114,4984263,4973996,4891192,4913122,4905006,4888402,4886428,4921326,4907659,4895688,5005198,5005224,4950307,4914038,4896657,4839943,4795144,4860253,4888453,4792870,4759308,4732651,4720779,4759113,4789076,4794745,4843508,4855931,4779246,4545203,4381251,4246144,4191560,4147549,3956790,3936009,3856104,3737728,3716637,3421933,3272525,3149964,2969441,2952435,2760755,2685345,2672128,2674703,2551170,2272326,2070760,1915043,1782588,1708926,1560685,1382300,1207038,1053171,899635,726603,591682,470006,356391,271360,460966
2055,4368875,4378687,4385976,4389865,4391090,4390831,4390111,4389597,4389787,4390684,4391980,4393711,4395992,4399429,4405053,4414641,4429775,4451745,4481133,4516684,4556855,4600127,4645267,4691291,4737253,4781953,4824528,4863970,4899596,4930689,4957411,4979244,4995711,5006687,5012538,5013528,5009349,5000703,4988922,4904632,4924891,4914949,4896830,4893678,4927647,4912865,4899274,5006460,5004087,4947113,4909203,4890514,4833107,4787964,4852558,4880285,4784369,4750145,4722542,4709478,4746026,4773661,4776482,4821664,4830544,4750686,4514555,4348280,4210720,4152768,4104835,3911309,3885210,3800304,3677366,3649737,3353670,3199928,3072040,2887182,2859271,2661661,2576508,2549552,2536164,2402222,2124900,1921679,1762341,1625103,1541869,1392159,1217635,1048746,901453,757496,601117,480230,373721,277216,485535
2056,4377793,4388431,4396575,4401231,4403188,4403532,4403207,4402843,4402898,4403493,4404276,4405315,4406860,4409608,4414621,4423609,4438421,4460038,4488859,4523739,4562835,4604965,4648986,4694093,4739453,4784123,4827095,4867419,4904391,4937083,4965006,4988038,5006383,5019893,5028723,5032718,5031858,5025880,5015717,5002429,4916488,4934909,4923461,4904178,4900146,4932956,4916567,4900826,5005477,5000978,4942411,4903237,4883798,4826079,4780719,4844763,4871794,4775420,4740281,4711570,4696972,4731208,4755924,4755432,4796924,4802107,4718988,4480952,4312432,4172264,4110545,4058114,3861439,3829602,3739553,3611989,3577476,3279921,3121434,2987620,2796863,2757294,2554505,2459118,2418238,2389115,2247304,1972859,1769268,1607623,1467166,1376285,1227268,1058825,898482,759879,627331,488479,382333,291110,505951
2057,4386039,4397441,4406391,4411893,4414610,4415673,4415950,4415975,4416184,4416636,4417121,4417645,4418498,4420506,4424839,4433227,4447454,4468773,4497264,4531603,4570035,4611107,4654004,4697997,4742446,4786518,4829449,4870167,4908009,4942032,4971543,4995764,5015294,5030679,5042034,5049006,5051144,5048489,5040987,5029312,5014365,4926600,4943500,4930894,4910744,4905607,4936767,4918238,4900149,5002534,4996362,4936587,4896710,4876896,4818991,4773401,4836665,4862854,4765784,4729563,4699411,4682755,4714097,4735421,4731518,4769155,4770517,4684239,4444408,4273492,4130363,4064322,4006868,3806809,3769033,3673727,3541310,3499396,3200137,3036334,2894856,2697898,2646973,2438849,2333241,2278730,2236101,2087466,1817334,1614771,1452344,1310499,1214154,1068106,907935,758119,630059,510357,389412,298218,529280
2058,4393696,4405783,4415474,4421774,4425326,4427144,4428133,4428755,4429352,4429956,4430299,4430525,4430861,4432182,4435776,4443497,4457142,4477895,4506112,4540139,4578048,4618469,4660316,4703203,4746547,4789700,4832035,4872702,4910927,4945808,4976636,5002428,5023139,5039702,5052924,5062418,5067532,5067870,5063689,5054676,5041333,5024556,4935280,4951009,4937540,4916304,4909574,4938548,4917682,4897531,4998089,4990634,4930208,4890007,4869938,4811839,4765799,4828140,4853223,4755293,4717658,4685546,4666275,4694245,4712081,4704621,4738263,4735855,4646431,4404692,4231052,4084469,4013581,3950719,3747256,3703357,3602526,3464862,3414883,3113590,2942741,2793145,2590775,2527858,2314755,2199407,2133538,2078145,1923886,1659589,1459631,1298205,1156981,1057533,916728,766842,629269,513233,407344,304158,549748
2059,4400897,4413531,4423888,4430923,4435262,4437908,4439645,4440978,4442171,4443160,4443652,4443736,4443776,4444580,4447492,4454485,4467482,4487671,4515347,4549121,4586736,4626643,4667858,4709706,4751945,4793995,4835409,4875469,4913634,4948889,4980556,5007658,5029924,5047662,5062052,5073405,5081038,5084353,5083168,5077470,5066786,5051607,5033324,4942883,4957736,4943178,4920376,4911514,4938108,4915188,4893433,4992545,4984355,4923659,4883258,4862914,4804411,4757789,4818946,4842734,4743629,4704066,4669430,4647085,4671581,4685774,4674646,4704330,4698121,4605342,4361385,4184534,4034056,3957946,3889485,3682638,3632276,3525460,3382048,3323169,3018318,2840054,2683020,2475033,2400026,2182735,2060072,1983615,1916394,1757886,1501088,1305535,1147028,1008552,908433,775031,637175,513171,410197,318575,567379
2060,4407785,4420827,4431709,4439404,4444469,4447891,4450448,4452526,4454427,4456018,4456892,4457123,4457023,4457530,4459930,4466253,4478539,4498105,4525241,4558494,4595867,4635497,4676205,4717434,4758640,4799584,4839891,4879022,4916572,4951752,4983783,5011706,5035276,5054557,5070118,5082636,5092131,5097958,5099747,5097041,5089666,5077153,5060454,5041022,4949707,4963457,4947331,4922419,4911243,4935731,4911220,4888254,4986460,4977910,4917069,4876452,4855621,4796575,4749136,4808914,4831065,4730282,4688219,4650606,4625110,4645987,4656414,4641681,4667364,4657078,4560519,4313908,4133422,3978746,3897238,3823025,3612657,3555296,3441926,3292095,3222151,2913713,2728825,2564025,2350742,2263978,2045250,1916142,1830039,1752135,1590984,1343535,1154297,1000730,867121,768737,644664,520204,410644,321274,589382
